pkt大小(Byte),用时(ns)
1210,133200
652,85200
62,12700
1024,114900
1024,112000
1024,170300
1024,214600
1024,231500
1210,261600
838,166299
1024,171600
1024,153700
62,15300
1210,127800
838,85700
1210,130799
838,102800
1024,128099
1024,110800
62,11300
62,8500
1210,121700
838,98200
1210,158100
838,101700
62,12100
1024,130000
1024,118900
1024,110399
1024,116900
62,11100
1024,108500
1024,121200
1024,115300
62,11300
1024,114700
1024,110200
1024,138700
1024,105700
62,12100
1024,101000
1024,118200
1024,111000
62,10700
1024,101600
1024,101200
1024,106900
62,11500
1024,106500
1024,98800
1210,138100
62,23300
838,96500
1024,104100
1024,114800
1024,111400
1024,120900
62,11900
1024,105500
1024,106500
1024,117300
62,22100
1024,130700
1024,133800
1024,116500
1024,103900
1024,129400
1024,112500
62,13200
1024,98300
1024,122700
62,26300
1024,145100
1024,119300
62,10500
1024,109900
1024,125600
62,14900
1024,114999
1024,108800
62,10500
1024,112200
1024,133400
1210,130000
838,93700
62,10800
1024,137100
1210,140500
838,101500
1024,125400
62,12900
1024,145000
1024,118100
62,12000
1024,110700
1210,125600
838,99500
1210,129800
838,83999
1024,134200
1024,111200
1024,111600
1024,117000
1024,114600
1210,134200
838,112000
62,11500
1210,151200
838,114600
1210,175900
838,133000
1210,176200
1210,206599
652,118100
62,14600
62,9100
1210,174400
182,29700
62,9700
62,9600
354,54100
139,21200
62,10100
74,12200
74,11400
62,9500
222,59700
170,29800
230,39700
234,35300
74,12200
74,11200
62,10700
302,53699
190,27500
310,51400
246,44100
62,10500
62,8400
100,18200
74,11500
66,9500
62,8900
686,142900
62,10300
100,21300
100,12300
1024,161800
1024,227400
1024,207900
1210,153000
155,24400
1024,233600
62,21800
1210,191300
838,120500
62,10700
1210,159899
838,157800
62,15900
1024,430000
1024,150400
1024,262200
62,51300
1210,208400
838,114500
1024,142400
1024,127200
62,12300
1024,127500
62,11900
1210,147700
838,274200
1024,127400
62,34900
1024,125800
62,10300
1210,140799
838,100200
62,10100
1024,125100
1024,126200
62,11500
62,8300
1210,142400
838,138000
1024,127600
62,11100
1024,125200
62,10000
1210,130500
838,107500
1024,179100
62,14500
1210,256300
838,174900
62,45400
1024,219300
1024,173800
1024,233700
1024,494100
1024,124700
1024,128000
62,17200
1024,154800
62,11200
1024,119900
1024,121400
1024,122300
62,12900
1024,121900
1024,115100
62,9800
1024,123700
1024,143200
62,12700
62,8800
1210,141100
838,101100
1024,135800
1024,127199
1024,119100
1024,122200
1024,121800
62,12100
1210,140800
838,102400
62,10300
1024,132000
62,13900
1210,145100
838,100900
1024,116900
62,10700
1024,128100
1210,145300
1210,141300
652,91900
1210,142900
838,100500
62,11100
1024,117400
62,10100
1024,117100
1024,119300
1024,125200
62,11400
1024,132600
1210,137300
1210,151700
652,80100
1210,844300
838,110699
1024,123400
62,11800
1210,140400
838,107400
62,10300
1024,140400
1024,130600
1024,123900
1024,172600
1024,118400
62,14700
1024,123900
1024,115600
1024,115699
1024,116200
1024,133500
1024,139600
1024,126700
1024,115600
1024,122900
1024,119600
1024,117700
62,10300
62,14300
1210,148300
838,192100
62,15000
1024,126400
62,10600
1024,115600
62,11200
1024,128600
62,10300
1210,137100
1210,133900
652,80600
1024,119300
1024,116700
1210,131400
838,99500
62,11700
62,13000
1024,119000
62,9700
1024,114900
1024,116499
62,10000
1024,115700
1024,121700
1024,116500
1024,114200
1024,133100
1024,118700
1024,121300
1024,117500
1024,114700
1024,116900
1024,117900
62,10700
1024,180300
1024,112300
1024,126700
1024,117799
1024,115900
1024,118600
1024,127400
1024,134100
62,11400
62,8000
62,7300
1024,113900
62,11100
1024,116600
1024,119900
1024,113700
1024,152100
1024,127600
1024,126100
62,34100
62,8900
1024,126600
1024,125200
62,24000
1024,152100
62,10100
1024,124900
62,9300
1210,139700
838,110500
62,10800
1024,122300
62,9700
1210,215400
838,101200
1210,144400
838,168500
1024,254600
1024,227699
62,92000
62,23300
1024,256900
62,13800
1024,7.7395e+06
62,39800
1024,195800
62,10600
1024,245600
62,66100
1024,202500
1024,160600
1024,154800
1024,195900
1024,143000
1024,126899
1024,119700
1024,117100
62,12100
1024,178100
1024,136400
1024,119900
1024,167000
1024,120300
1024,132800
62,11600
1024,117900
62,12100
1024,118400
62,10200
62,8100
1024,115300
1024,117500
1024,115300
1024,127700
62,12200
1024,118300
62,10100
1210,154100
838,97300
1210,149900
838,106400
1024,120900
1210,133200
838,146100
62,12700
62,8100
1024,117900
62,10000
1210,133600
838,114300
62,12000
1024,122400
62,10000
1024,116500
1024,118400
62,11700
1024,116300
62,10100
1210,143800
838,99200
62,9900
1024,119000
1210,135800
838,97299
1024,121800
1024,116000
62,17300
62,11000
1024,124700
62,10500
1210,134200
838,99500
62,10300
1024,110800
62,11400
1210,155700
838,97900
62,10200
1024,116600
1210,166600
838,102100
62,10600
1024,115600
62,9600
1210,141799
838,101600
1210,136100
838,99600
1024,112000
1024,118000
1024,119400
1024,113800
62,10300
1024,135100
1024,120700
62,11900
62,8300
62,7400
1024,118300
62,9600
1024,116200
62,9700
1024,117100
1024,114700
62,11000
1210,137200
838,102099
62,12200
1024,118100
62,9800
1210,146600
838,99300
1024,115500
1024,118800
1210,136300
838,113500
1024,118300
62,16900
62,10900
1024,125400
62,10200
1210,141800
838,103799
62,10400
1024,125800
1024,141800
1024,125700
62,11000
62,8100
1024,125700
62,10500
1024,123700
1024,124200
62,11100
1024,115700
62,9600
1024,128300
1024,118200
1024,115800
1210,136300
838,100200
1024,119400
1210,135000
838,98099
1210,186200
838,108800
1024,119200
62,10800
62,8500
62,7300
1024,117600
1210,137500
838,101200
1024,254600
62,25300
62,8600
1024,152300
1024,334800
1024,250000
1024,163199
1024,217600
1024,246100
1210,252500
838,190500
1024,164900
1024,195900
1024,163400
62,13600
62,84400
62,12600
1024,141000
62,11500
1024,156799
62,58000
1024,203100
62,13300
1024,151100
62,11300
1210,216400
838,118400
62,15500
1024,122600
62,9900
1024,115200
1210,164499
838,111200
1024,227200
1024,134400
1024,131000
62,11100
1024,136500
1210,185600
838,116200
1024,132200
1024,126600
62,11800
62,8500
1024,122700
62,10000
1024,122200
1024,120900
62,12400
1024,145499
62,11300
1210,247000
838,161600
62,11300
1024,191400
1024,221200
1024,322200
1024,197100
1024,167500
1024,152800
62,12799
1024,122300
1024,118700
1024,120800
1024,147900
62,26700
1024,124900
1024,124200
1024,124900
1024,8.302e+06
1024,222000
1024,129400
62,12300
1024,133800
62,13800
62,8800
1024,123800
62,9800
1024,119000
1024,134500
1024,132400
1024,133100
1024,137900
1210,142100
838,111200
62,11400
1210,159400
838,100600
1024,119600
1024,140000
62,11700
62,8600
62,7700
1024,124700
62,10300
1024,116900
1024,115200
62,11800
1024,133400
62,10200
1024,120800
62,10200
1024,119500
62,14300
1024,120700
62,10600
1024,118300
62,9799
1210,138700
838,101500
1210,184000
838,109000
62,11100
1210,155800
1210,139600
652,88200
1210,155500
838,101600
1024,126400
62,15100
1024,123900
62,10800
1024,116100
62,9800
1024,117400
1024,119399
62,14700
1024,152200
62,11000
1024,119400
1024,115100
62,14700
1210,146500
838,103200
1024,118700
1024,116500
1024,140000
62,14800
1024,120100
1024,115100
1024,118300
1024,128300
62,13100
1024,126000
1024,118300
62,10100
1024,132199
62,14800
62,11800
1024,120600
62,11800
1024,118300
1210,135800
1210,146900
652,83300
1024,131500
62,11000
62,8200
1024,122600
62,13900
1024,124500
1024,117100
1024,120500
1024,119900
1024,127300
62,14100
1024,139000
1024,121799
62,10600
1210,138100
1210,142600
1210,142800
466,60600
62,10600
62,8200
62,7700
1210,146700
838,108800
1210,175800
838,100600
1024,158600
62,14600
1210,145100
838,100400
1024,186100
62,15700
1210,162299
838,104600
1210,141600
1210,133700
652,88500
62,13600
1024,135500
62,10700
1024,118600
1024,119600
1024,127200
1024,126700
1024,118100
1024,134300
1024,125600
62,13500
1024,124600
62,10100
1210,136800
838,102199
1024,136800
62,13700
1024,122400
1024,133700
62,11000
1024,114500
62,14000
1210,251500
838,102100
1024,117100
1024,119000
1024,142900
1024,127200
62,11000
1024,136600
1210,167600
838,124099
1024,125100
1024,147100
62,14800
1024,7.9003e+06
62,59100
62,17300
1024,252799
62,11100
1024,188600
62,13900
1210,219100
838,187500
1210,197100
1210,270800
652,114100
1210,186600
838,141600
1024,143799
62,11000
1210,138800
838,106200
62,15700
1210,186400
838,118800
62,10400
62,8300
1024,199800
1024,316500
1024,153200
1024,191100
62,91100
1210,342700
838,219099
1210,191800
1210,147400
652,109300
1210,157200
838,104200
1024,120700
62,14900
62,12200
1024,131900
62,10200
1024,119900
1024,116300
1024,116400
1024,124300
1024,133000
62,10700
1024,116500
62,12400
1210,149500
838,107899
1024,129100
1024,119100
1024,119600
1024,124600
62,13200
1024,135300
1024,121200
1024,132100
62,13800
1024,132800
62,10500
62,8400
1024,142100
1024,135400
1024,154000
1024,130400
62,11800
1024,123000
62,9800
1024,121400
1024,126700
1024,142500
1210,139600
838,102600
1024,126100
62,13200
1024,124100
1024,125100
1024,119299
62,14300
1024,142900
1024,115400
62,10000
1024,117600
62,9500
62,12900
1024,125400
62,9900
1024,124400
62,9500
1024,134900
62,10700
1210,155300
838,108900
1024,284800
1024,221200
1024,166300
1024,146800
1210,177199
838,107300
1024,118300
1210,170000
838,118900
62,12000
1024,123700
1024,118200
62,15100
62,12200
1210,161300
838,102500
1024,123500
62,10600
1024,119000
62,17700
1210,179800
838,104500
1024,120400
1024,137200
1024,136000
1024,120500
1024,157800
62,15300
62,11900
1210,139800
838,142499
62,12700
1024,137100
62,10800
1210,147000
838,112200
1210,147200
838,97100
62,10600
1210,134100
838,103300
62,13700
1210,160300
838,101100
1210,131100
838,129400
1024,129800
1024,118200
1024,123800
1024,128000
1024,130300
62,10600
1024,151800
62,14900
62,12700
1024,125999
62,10200
1210,153400
838,102800
1210,134700
838,109800
62,13400
1024,134800
62,10500
1210,137800
838,100800
1024,133200
1210,138400
838,111500
1210,138800
838,123200
1024,132100
62,10100
1210,135400
62,10300
1210,138299
652,86100
62,12600
1024,122900
1024,116900
62,10500
1210,163500
838,104000
62,13800
1024,118900
62,10400
1024,115600
1024,122100
1024,124600
1024,131400
1024,121000
1024,128700
1024,146700
1210,149899
838,103800
1024,142900
1024,218100
1024,210200
1210,248900
838,177000
1024,151000
1024,122500
62,10700
62,8200
62,7200
1210,142500
838,139300
62,13800
1024,120700
62,9599
1210,143200
838,124300
1210,154000
838,98700
1210,137100
838,108100
1024,126500
1024,121100
62,10000
62,112400
1210,147100
838,119700
1024,126300
62,10400
1024,121700
1024,119500
1024,157699
1024,162400
62,11700
1024,137100
62,10200
1210,149800
838,119600
1024,143600
1024,133700
1024,163700
1024,146400
1024,139400
62,10800
1024,134200
1024,131200
1024,154500
62,15700
62,10500
1024,154299
62,11200
1210,161000
838,122600
1024,146000
1024,137800
1024,153400
1024,128200
1024,176700
62,16200
62,10700
1024,162500
1210,185200
838,138200
1024,192900
1024,155900
1024,159800
1024,162900
62,16600
1024,162200
62,14500
1210,190300
838,132200
1024,160200
62,14800
1024,1.22942e+07
62,54400
1024,193000
62,10700
1210,149400
838,112200
62,13600
1024,123100
62,9900
1024,120800
1210,150900
838,113100
1024,125600
1024,138299
1024,126200
1024,126200
62,10300
1024,121000
1024,135000
62,14200
1024,125400
62,10500
62,7900
1024,135300
1210,138100
838,139500
1024,127500
1024,185000
1024,123600
62,10900
1024,119100
1024,126200
62,13599
1024,121800
1210,139000
838,99700
1024,144700
1024,121300
1024,123600
1024,137000
1024,141200
62,13300
62,8700
1024,126300
62,9800
1024,169600
1024,125200
1024,180700
1024,174100
1210,200699
838,188100
62,19600
1024,172600
1024,164400
62,13400
1024,158400
62,14400
1210,162800
838,112700
1210,138700
838,97600
1024,121700
1024,123400
62,10600
62,7500
1024,114200
62,9400
1210,133099
838,124300
1024,124700
1024,261000
1210,143900
838,106300
1024,122800
1024,133100
62,10600
62,8400
1024,128500
1210,160600
838,100000
1024,115200
1024,122000
1024,130900
1024,178899
62,10500
1024,109700
62,13700
1024,120800
1210,136500
838,97100
1024,116500
1024,121100
1210,237000
838,100700
1024,118000
62,14500
62,11600
1024,120700
62,9700
1024,121500
62,9600
1210,150000
838,111200
1024,122500
1024,120300
1024,118400
1024,114800
1024,122200
1024,181700
62,10600
1024,116500
1024,134700
1024,122300
62,10800
62,8000
1024,122300
62,9500
1210,249600
838,122400
1024,121900
1024,117099
1024,115700
1024,117600
1024,121500
62,10100
62,7800
1024,125200
1210,135200
838,105200
1024,128500
1024,119000
1024,138800
1210,147700
838,119200
62,11100
62,8500
1024,115200
62,9500
1024,111900
1024,124500
1024,118500
1024,116500
1210,133300
838,176800
62,14300
62,8700
1210,153000
838,101700
1210,142700
838,105700
62,10600
