pkt大小(Byte),用时(ns)
62,6.32906e+07
72,82200
72,52300
62,20700
68,15600
67,14400
68,9600
67,12200
68,14300
67,8600
81,48200
143,36900
84,16100
377,116800
83,22400
227,53500
98,18000
98,11400
98,11000
100,48400
112,29900
86,22200
90,28300
74,27800
146,52700
83,22900
78,294000
74,37100
74,14100
74,11200
86,15700
78,11700
90,90700
74,22900
146,53600
83,24800
78,134599
74,164300
74,26800
74,24700
86,38600
78,24200
90,61000
74,25400
146,63400
82,109200
74,91500
268,67500
167,33300
74,20700
166,59400
217,34000
74,10300
170,24600
138,19400
74,10900
178,49700
117,18100
74,11100
187,27500
117,13900
74,10700
204,27600
254,33100
74,9700
204,26700
184,28100
74,10900
113,15900
117,34200
74,10800
74,9900
78,10899
74,9000
83,17600
62,10100
72,10500
99,18100
291,44400
74,12000
70,11600
72,44600
712,121400
62,11000
1130,184100
816,104600
72,16400
74,13300
70,10900
72,9800
433,45600
62,9700
299,39500
1130,159000
1130,196800
72,16600
1130,166500
1130,133700
1130,139300
1130,203699
72,14900
1130,199600
1130,175700
998,126100
1130,133000
1130,140800
72,12500
1130,355700
1130,139900
1130,137100
1130,130000
1130,127200
1130,151599
72,14900
1130,163000
1130,131600
370,47900
72,11400
72,10500
62,9600
83,13900
80,13600
211,30300
78,12300
74,11900
72,9800
179,25100
976,120300
72,11600
248,31600
105,17300
72,11100
101,13400
72,9000
107,13100
107,13900
102,12300
99,31600
93,14200
92,13000
93,13400
97,14100
62,8700
72,9800
72,9600
81,12500
62,8700
83,45600
202,29000
78,14400
74,13800
72,10900
180,25800
62,9600
1130,144100
348,51500
72,11700
248,31100
105,15200
150,18400
72,10900
100,12700
98,12600
102,12800
62,7800
97,11900
93,11700
62,7500
92,11000
93,10900
62,7400
98,11200
62,8700
72,9100
72,8600
62,6700
62,8100
72,13400
62,10400
72,11300
85,14200
80,11700
211,29500
74,11500
70,13700
72,13800
297,41600
78,12600
144,21400
976,150200
248,34400
74,12700
72,10800
105,26900
74,12800
62,8700
1130,173400
62,18500
393,60100
72,11200
72,10500
72,38200
101,15500
72,9700
72,10700
72,9100
72,8800
62,8000
62,41600
105,15700
107,17700
102,12900
99,11800
93,12100
92,12900
93,11200
97,11400
62,9200
72,9400
72,7900
62,6900
62,7200
72,8400
83,13900
72,9600
62,7100
74,10300
70,9500
72,9000
433,49400
62,11000
299,39400
1130,160300
1130,152400
72,68899
1130,200300
1130,139700
1130,133100
1130,236000
72,13100
1130,202500
1130,162000
998,149800
1130,132800
1130,219100
72,15300
72,13400
1130,976999
1130,301700
1130,177100
1130,190300
1130,165100
1130,187400
998,182299
72,17200
72,11000
1130,170200
1130,132900
1130,133500
1130,131600
1130,160400
1130,167300
1130,455000
1130,150400
998,295299
72,15900
72,39400
72,10800
1130,143000
1130,138600
1130,145400
1130,135100
1130,208600
1130,273900
1130,139000
1130,133500
998,127400
1130,211100
1130,138100
72,12400
1130,139900
1130,135500
1130,130500
1130,134800
1130,177700
1130,135300
1130,130900
1130,132100
1130,137900
1130,136800
1130,805199
1130,143400
72,15400
72,10800
1130,177600
1130,178100
1130,177200
1130,179200
1130,131300
1130,125400
1130,140300
1130,146999
879,102600
72,11300
72,10200
68,9800
67,10300
68,9100
67,8800
68,8900
67,7700
81,12400
143,22400
84,13700
377,53600
83,12700
227,29000
98,12800
98,11400
98,10600
251,33200
83,14900
251,30200
83,12300
62,8500
72,8600
72,8000
62,8900
74,9900
70,8800
72,12700
444,71600
62,12900
297,44700
1130,133100
1130,131700
72,14300
1130,158600
1130,128700
1130,163200
1130,217399
72,14500
1130,138000
1130,154400
998,129600
1130,128700
72,11600
72,9800
1130,143700
1130,287200
1130,133700
1130,129200
1130,135900
1130,142200
1130,159900
72,16799
72,10500
1130,130400
1130,129200
1130,130700
1130,128700
1130,140200
1130,187000
1130,449700
1130,156800
1130,190700
72,13700
72,16100
72,9700
1130,162599
1130,129300
1130,127900
1130,138900
1130,126000
1130,144300
1130,158000
1130,131800
1130,128600
734,90500
1130,125800
72,12700
72,10300
72,9300
1130,155000
1130,196000
1130,131899
1130,129900
1130,126800
1130,127700
1130,124500
1130,177700
1130,134000
1130,125600
954,116600
1130,781999
1130,133600
1130,142800
72,14000
72,11000
1130,131700
1130,141000
1130,164400
1130,159700
1130,132300
1130,124900
1130,126200
1130,176800
1130,162800
1130,134099
1130,159500
910,138600
72,12100
1130,151100
1130,169900
1086,186600
1130,157400
72,16600
72,11100
72,32000
79,14600
72,9700
100,15900
112,15300
86,12200
90,13000
74,10100
146,19100
83,10300
78,9300
74,9800
74,9200
74,10300
86,12600
78,10300
90,12200
74,9300
146,17600
83,23800
78,40600
74,14400
74,10200
74,14300
86,13300
78,10600
90,13500
74,10400
146,20300
82,11500
74,11800
268,40200
167,24500
74,10400
166,21700
217,29799
74,10300
170,21100
138,18600
74,9900
178,34500
117,17500
74,9900
187,24100
117,14100
74,15400
204,59800
254,33800
74,13300
204,55800
184,26600
74,25200
113,16800
117,38800
74,11100
74,8800
78,12100
74,52500
83,22600
262,46500
83,18600
100,16300
62,9400
72,10000
68,9900
67,10600
68,8000
67,7800
68,8400
67,7200
81,14900
143,23100
84,14200
377,51000
83,14100
227,75800
98,26300
98,15900
98,15100
74,13700
83,16100
74,11900
72,10600
62,11800
70,10700
72,10500
433,101600
62,40000
300,61900
1130,137300
1130,152899
72,16500
1130,168900
1130,139000
1130,133700
1130,173100
72,15000
1130,212300
1130,133600
998,118500
1130,137100
1130,191700
72,42600
72,11900
1130,138900
1130,163999
1130,326500
1130,201300
1130,188600
1130,155300
998,146900
72,13400
72,11900
1130,183200
1130,214500
1130,196800
1130,150200
1130,159699
1130,149300
1130,190700
1130,152800
998,145700
72,14700
72,19300
1130,842600
1130,195299
1130,208800
1130,204100
1130,298400
72,20500
1130,284800
1130,177400
1130,328100
998,186600
1130,168199
1130,177500
72,14300
72,12800
1130,264000
1130,172100
1130,215900
1130,169400
1130,222700
1130,172400
1130,153400
1130,191899
1130,148500
1130,139100
72,20700
1130,213300
1130,187600
910,130500
72,13000
72,9600
1130,148800
1130,151700
1130,191500
1130,987399
1130,516600
1130,860399
1130,366800
1130,194400
72,16900
998,126500
72,11600
1130,140100
1130,142300
1086,145000
1130,171600
1130,136200
1086,131600
1130,132099
72,12300
72,10200
1130,131600
1130,151700
1130,167900
1130,185600
1130,136500
1130,132500
1130,135000
1130,153100
1130,169200
1130,132300
72,13200
72,10500
1130,129200
1130,134299
1130,131500
72,23800
1130,175000
1130,146200
1130,137400
866,103500
1130,137600
1130,135100
1086,186300
72,12100
72,17600
1130,169700
1130,137000
1130,137800
790,96200
72,13700
72,11100
74,11500
74,9200
74,9700
70,9900
72,8800
393,48000
62,8800
1130,172500
302,97500
142,25200
78,13100
72,10000
72,8700
388,43700
1130,169600
142,23300
1130,135000
1130,131100
72,11400
1130,202300
72,16500
1130,166800
437,54500
72,11100
62,8700
72,8800
62,8600
72,8900
83,14000
72,9100
72,8400
62,7800
62,9100
78,12200
74,12000
72,10300
446,77100
62,10700
1130,179999
142,45300
302,48700
72,15200
376,48000
1130,199900
142,20600
1130,163900
1130,209400
72,18000
72,35200
1130,553600
1130,262200
437,89300
72,16900
72,11200
72,22000
196,91900
289,127800
72,12900
62,10400
72,30600
72,25700
62,13300
83,18800
62,9800
72,10600
72,8400
62,10300
78,12600
74,11700
72,9400
486,60400
62,13300
1130,191600
310,54900
142,21500
78,13200
72,9900
406,108400
62,11700
240,32300
234,35200
289,63800
72,11900
62,8200
72,8600
97,18000
220,61900
74,15100
70,11800
72,10300
457,78500
62,25600
299,76700
1130,197500
1130,298199
72,35900
1130,349800
1130,321800
1130,169000
1130,162300
72,13300
1130,211200
1130,134300
72,13000
998,203399
1130,140100
1130,200100
72,13500
1130,137500
1130,134400
1130,376000
1130,240500
1130,136500
1130,152100
998,119800
72,11200
1130,210399
1130,137900
1130,135100
1130,132700
1130,135900
1130,136700
1130,169300
1130,174800
72,13800
1130,136300
1130,435300
1130,181099
1130,147000
1130,138600
1130,133100
1130,152200
1130,135500
1130,242900
72,13700
72,9700
1130,135900
1130,137800
1130,137300
1130,146100
1130,163500
1130,183899
1130,172600
1130,148200
1130,138700
734,92800
1130,134400
72,17500
1130,146900
1130,167300
1130,138400
1130,132600
1130,130300
1130,131100
1130,142500
998,153799
1130,684300
1130,157900
1086,162900
1130,135800
72,11800
1130,131600
1130,146300
1130,146400
1130,229699
1130,142300
1130,168600
1130,165800
1130,163300
1130,269300
1130,212900
1130,164600
1130,138900
72,12700
72,9100
1130,135000
1130,176900
1130,137500
1130,137500
1130,131800
1130,145500
1130,137600
1130,156000
1130,172400
1130,138700
1130,136800
1130,149600
1130,135600
734,112000
1130,167699
72,13800
72,9700
1130,136600
1130,133000
1078,131800
72,12500
445,56900
299,48000
1130,136600
1130,147700
1086,2.0542e+06
72,14400
1130,139000
1130,132300
1086,146700
1130,136000
1130,148700
1086,128500
1130,3.2408e+06
1045,136000
72,13900
72,9700
72,53200
463,63900
62,10500
1130,188900
1130,160800
1130,156999
244,37900
72,11800
1130,150400
1130,161900
1086,159100
1130,171700
1130,190400
1086,139400
1130,1.4458e+06
1130,172100
138,22100
72,11900
72,14100
1130,147300
1130,185300
1086,159900
72,12700
1130,205300
1130,156400
1130,190299
1130,162600
1130,184600
72,13900
72,24500
1130,187300
1130,191500
1130,159900
1130,171800
1130,156600
1130,173700
1130,183000
1130,153599
1130,154900
1130,165700
1086,178700
72,14500
72,10600
1130,217800
1130,191400
1130,173000
1130,161400
72,16800
1130,276800
1130,184000
1130,197500
1130,186500
1130,643800
1130,181000
1130,168200
72,14300
1130,190600
1130,178100
1130,167699
1130,170400
1130,160600
1130,169600
1130,177400
1130,390900
1130,166100
1130,185500
1130,394800
1130,164999
1130,185100
72,14700
1130,211600
1130,245600
1130,194300
1130,244700
1130,415500
72,29400
1130,260299
1130,320800
1130,232800
1130,156400
1130,161600
1130,173500
1130,138600
1130,139599
72,12400
1130,134200
1130,135300
1130,206000
1130,169500
1130,139600
1130,142100
1130,131900
1130,133900
1130,1.1831e+06
1130,156400
426,55600
1130,209200
1130,149000
1086,133600
72,43700
72,10900
72,9500
1130,253700
1130,139000
1130,136400
1130,132899
1130,135500
1130,181700
72,15200
1130,136700
1130,128700
1130,147000
1130,376700
1130,148700
1130,136500
1130,135700
1130,191799
1130,224300
72,20300
72,15200
72,11500
1130,342300
1130,311600
1130,401200
1130,143500
1130,166400
1130,159000
1130,159600
1130,137800
1130,138000
1130,136500
